,ttm,moneyness,sigma,s,r,C_bs
0,0.046575342465753435,0.901504224191222,0.2216345116683061,4464.76,0.012970000505447388,443.2375667803135
1,0.046575342465753435,0.9118189178318538,0.2197665809121388,4464.76,0.012970000505447388,398.07919699691
2,0.046575342465753435,0.9221336114724856,0.21365845546442686,4464.76,0.012970000505447388,353.1731037715135
3,0.046575342465753435,0.9324483051131174,0.19932435836757453,4464.76,0.012970000505447388,308.03483287999006
4,0.046575342465753435,0.9427629987537492,0.18746606481615133,4464.76,0.012970000505447388,263.5689495754568
5,0.046575342465753435,0.953077692394381,0.17118016874635594,4464.76,0.012970000505447388,219.13002817577126
6,0.046575342465753435,0.9633923860350128,0.15409029126972631,4464.76,0.012970000505447388,175.27892976065277
7,0.046575342465753435,0.9737070796756446,0.13603581492510294,4464.76,0.012970000505447388,132.3459147117619
8,0.046575342465753435,0.9840217733162764,0.11748643158972855,4464.76,0.012970000505447388,91.1722135340533
9,0.046575342465753435,0.9943364669569084,0.09840552002734536,4464.76,0.012970000505447388,53.33039982827631
10,0.046575342465753435,1.00465116059754,0.08345881816443962,4464.76,0.012970000505447388,23.921253753364226
11,0.046575342465753435,1.014965854238172,0.07585199725530918,4464.76,0.012970000505447388,7.800080442865237
12,0.046575342465753435,1.0252805478788038,0.076725176244269,4464.76,0.012970000505447388,2.3406611865537457
13,0.046575342465753435,1.0355952415194356,0.08331981301795446,4464.76,0.012970000505447388,0.8761351581347441
14,0.046575342465753435,1.0459099351600674,0.09375728515722473,4464.76,0.012970000505447388,0.4662839611180658
15,0.046575342465753435,1.0562246288006991,0.1031758564324251,4464.76,0.012970000505447388,0.2541344891481785
16,0.046575342465753435,1.066539322441331,0.11174358989829423,4464.76,0.012970000505447388,0.14032989924336547
17,0.046575342465753435,1.0768540160819629,0.12023726625792913,4464.76,0.012970000505447388,0.08262078791114114
18,0.046575342465753435,1.0871687097225948,0.12023726625792913,4464.76,0.012970000505447388,0.022572860432059194
19,0.046575342465753435,1.0974834033632266,0.12023726625792913,4464.76,0.012970000505447388,0.005546812104940124
20,0.09257390050468638,0.901504224191222,0.2216345116683061,4464.76,0.012970000505447388,451.95648968446267
21,0.09257390050468638,0.9118189178318538,0.2197665809121388,4464.76,0.012970000505447388,409.06897537674195
22,0.09257390050468638,0.9221336114724856,0.21365845546442686,4464.76,0.012970000505447388,366.2315158743836
